PAYS;REGION;SUPERFICIE;POP.84;POP.88;POP.86
AFGHANISTAN;ASO;647497 ;17700000 ;17000000 ;18640000 
AFRIQUE DU SUD;AFS;1221037 ;32000000 ;33938000 ;33400000 
ALBANIE;EUE;28700 ;2950000 ;3145000 ;2950000 
ALGERIE;AFN;2381700 ;21900000 ;23805000 ;22300000 
ALLEMAGNE;EUO;356800 ;78150000 ;77714000 ;78150000 
ANDORRE;EUO;453 ;40000 ;40000 ;40000 
ANGOLA;AFS;1246700 ;8800000 ;9421000 ;8950000 
ANGUILLA;AMC;91 ;7000 ;8000 ;7000 
ANTIGUA;AMC;440 ;80000 ;84000 ;80000 
ANTILLES NEERLANDAISES;AMC;961 ;265000 ;253000 ;270000 
ARABIE SAOUDITE;ASO;2149700 ;11200000 ;14016000 ;12000000 
ARGENTINE;AMS;2767000 ;30500000 ;31506000 ;31030000 
AUSTRALIE;OCE;7687000 ;15700000 ;16506000 ;15700000 
AUTRICHE;EUE;83900 ;7600000 ;7563000 ;7560000 
BAHAMAS;AMC;13900 ;220000 ;247000 ;240000 
BAHREIN;ASO;622 ;440000 ;480000 ;410000 
BANGLADESH;ASM;144000 ;98800000 ;108851000 ;100600000 
BARBADE;AMC;431 ;260000 ;255000 ;260000 
BELGIQUE;EUO;30500 ;9860000 ;9867000 ;9860000 
BELIZE;AMC;22960 ;170000 ;182000 ;175000 
BENIN;AFO;112600 ;3800000 ;4454000 ;4040000 
BERMUDES;AMN;53 ;67800 ;56000 ;70000 
BHOUTAN;ASM;47000 ;1380000 ;1373000 ;1380000 
BIRMANIE;ASM;678500 ;39000000 ;40162000 ;37150000 
BOLIVIE;AMS;1099000 ;6400000 ;6917000 ;6550000 
BOTSWANA;AFS;582000 ;1050000 ;1164000 ;1130000 
BRESIL;AMS;8512000 ;137000000 ;144369000 ;139000000 
BRUNEI;ASM;5760 ;270000 ;243000 ;220000 
BULGARIE;EUE;110900 ;9000000 ;8995000 ;9000000 
BURKINA FASO;AFO;274200 ;6900000 ;8546000 ;6900000 
BURUNDI;AFC;27800 ;4600000 ;5149000 ;4860000 
CAIMANS;AMC;259 ;18000 ;18000 ;18000 
CAMEROUN;AFC;475400 ;9400000 ;11213000 ;10450000 
CANADA;AMN;9976000 ;25500000 ;26104000 ;25610000 
CAP-VERT;AFO;4030 ;320000 ;352000 ;335000 
CENTRAFRIQUE;AFC;622900 ;2550000 ;2794000 ;2740000 
CHILI;AMS;756900 ;12100000 ;12760000 ;12270000 
CHINE;ASM;9597000 ;1060000000 ;1083000000 ;1070000000 
CHYPRE;ASO;9250 ;660000 ;686000 ;680000 
COLOMBIE;AMS;1139000 ;28300000 ;30007000 ;29190000 
COMORES;AFS;2170 ;440000 ;442000 ;480000 
CONGO;AFC;342000 ;1750000 ;2100000 ;1790000 
COOK;OCE;240 ;21000 ;19000 ;21000 
COREE DU NORD;ASM;120500 ;20000000 ;21877000 ;20800000 
COREE DU SUD;ASM;98500 ;41000000 ;42593000 ;41470000 
COSTA RICA;AMC;51100 ;2500000 ;2670000 ;2550000 
COTE D'IVOIRE;AFO;322500 ;9800000 ;11587000 ;10100000 
CUBA;AMC;110900 ;9950000 ;10394000 ;10150000 
DANEMARK;EUO;43070 ;5120000 ;5133000 ;5120000 
DJIBOUTI;AFC;23000 ;360000 ;390000 ;460000 
DOMINICAINE;AMC;48700 ;6300000 ;6859000 ;6300000 
DOMINIQUE;AMC;751 ;88000 ;81000 ;90000 
EGYPTE;AFN;1001000 ;46700000 ;51447000 ;49610000 
EMIRATS ARABES UNIS;ASO;77800 ;1350000 ;1500000 ;1350000 
EQUATEUR;AMS;283600 ;9800000 ;10154000 ;9350000 
ESPAGNE;EUO;504800 ;38800000 ;38997000 ;38800000 
ETATS-UNIS;AMN;9363000 ;239300000 ;245871000 ;239000000 
ETHIOPIE;AFC;1222000 ;35400000 ;46144000 ;44225000 
FALKLAND;AMS;16840 ;2000 ;2100 ;2100 
FEROE;EUO;1400 ;42000 ;47000 ;42000 
FIDJI;OCE;18270 ;690000 ;732000 ;700000 
FINLANDE;EUE;337000 ;4900000 ;4944000 ;4900000 
FORMOSE;ASM;36170 ;19400000 ;20050000 ;19700000 
FRANCE;EUO;549000 ;55200000 ;55873000 ;55420000 
GABON;AFC;267700 ;1150000 ;1077000 ;1150000 
GAMBIE;AFO;11300 ;630000 ;822000 ;640000 
GHANA;AFO;238500 ;13400000 ;14040000 ;14000000 
GIBRALTAR;EUO;6 ;30000 ;29000 ;30000 
GRECE;EUE;131900 ;10000000 ;10300000 ;10000000 
GRENADE;AMC;344 ;110000 ;102000 ;112000 
GROENLAND;AMN;2180000 ;42000 ;54000 ;42000 
GUADELOUPE;AMC;1780 ;330000 ;338000 ;330000 
GUAM;OCE;549 ;110000 ;131000 ;110000 
GUATEMALA;AMC;108900 ;7900000 ;8688000 ;8150000 
GUERNESEY-JERSEY;EUO;195 ;130000 ;136000 ;130000 
GUINEE;AFO;248900 ;5400000 ;6641000 ;5520000 
