PAYS;REGION;SUPERFICIE;POP.84;POP.88;POP.86;DENSITE.84;DENSITE.88;DENSITE.86
AFGHANISTAN;ASO;647497 ;17700000 ;17000000 ;18640000 ;27.336033989346667;26.254947899372507;28.787778167311973
AFRIQUE DU SUD;AFS;1221037 ;32000000 ;33938000 ;33400000 ;26.207232049479256;27.79440754047584;27.35379845164397
ALBANIE;EUE;28700 ;2950000 ;3145000 ;2950000 ;102.78745644599303;109.58188153310104;102.78745644599303
ALGERIE;AFN;2381700 ;21900000 ;23805000 ;22300000 ;9.195112734601334;9.994961582063231;9.363059999160264
ALLEMAGNE;EUO;356800 ;78150000 ;77714000 ;78150000 ;219.03026905829597;217.80829596412556;219.03026905829597
ANDORRE;EUO;453 ;40000 ;40000 ;40000 ;88.30022075055187;88.30022075055187;88.30022075055187
ANGOLA;AFS;1246700 ;8800000 ;9421000 ;8950000 ;7.058634795861074;7.556749819523542;7.178952434426887
ANGUILLA;AMC;91 ;7000 ;8000 ;7000 ;76.92307692307692;87.91208791208791;76.92307692307692
ANTIGUA;AMC;440 ;80000 ;84000 ;80000 ;181.8181818181818;190.9090909090909;181.8181818181818
ANTILLES NEERLANDAISES;AMC;961 ;265000 ;253000 ;270000 ;275.7544224765869;263.26742976066595;280.9573361082206
ARABIE SAOUDITE;ASO;2149700 ;11200000 ;14016000 ;12000000 ;5.210029306414849;6.519979532027725;5.582174256873052
ARGENTINE;AMS;2767000 ;30500000 ;31506000 ;31030000 ;11.022768341163715;11.38633899530177;11.214311528731479
AUSTRALIE;OCE;7687000 ;15700000 ;16506000 ;15700000 ;2.04240926239105;2.147261610511253;2.04240926239105
AUTRICHE;EUE;83900 ;7600000 ;7563000 ;7560000 ;90.58402860548271;90.1430274135876;90.1072705601907
BAHAMAS;AMC;13900 ;220000 ;247000 ;240000 ;15.827338129496402;17.769784172661872;17.26618705035971
BAHREIN;ASO;622 ;440000 ;480000 ;410000 ;707.395498392283;771.7041800643087;659.1639871382637
BANGLADESH;ASM;144000 ;98800000 ;108851000 ;100600000 ;686.1111111111111;755.9097222222222;698.6111111111111
BARBADE;AMC;431 ;260000 ;255000 ;260000 ;603.2482598607888;591.647331786543;603.2482598607888
BELGIQUE;EUO;30500 ;9860000 ;9867000 ;9860000 ;323.27868852459017;323.5081967213115;323.27868852459017
BELIZE;AMC;22960 ;170000 ;182000 ;175000 ;7.40418118466899;7.926829268292683;7.621951219512195
BENIN;AFO;112600 ;3800000 ;4454000 ;4040000 ;33.747779751332146;39.55595026642984;35.879218472468914
BERMUDES;AMN;53 ;67800 ;56000 ;70000 ;1279.245283018868;1056.6037735849056;1320.754716981132
BHOUTAN;ASM;47000 ;1380000 ;1373000 ;1380000 ;29.361702127659573;29.21276595744681;29.361702127659573
BIRMANIE;ASM;678500 ;39000000 ;40162000 ;37150000 ;57.47973470891673;59.19233603537214;54.75313190862196
BOLIVIE;AMS;1099000 ;6400000 ;6917000 ;6550000 ;5.823475887170154;6.2939035486806185;5.959963603275705
BOTSWANA;AFS;582000 ;1050000 ;1164000 ;1130000 ;1.8041237113402062;2.0;1.9415807560137457
BRESIL;AMS;8512000 ;137000000 ;144369000 ;139000000 ;16.094924812030076;16.960643796992482;16.329887218045112
BRUNEI;ASM;5760 ;270000 ;243000 ;220000 ;46.875;42.1875;38.19444444444444
BULGARIE;EUE;110900 ;9000000 ;8995000 ;9000000 ;81.15419296663661;81.10910730387737;81.15419296663661
BURKINA FASO;AFO;274200 ;6900000 ;8546000 ;6900000 ;25.164113785557987;31.167031363967908;25.164113785557987
BURUNDI;AFC;27800 ;4600000 ;5149000 ;4860000 ;165.46762589928056;185.2158273381295;174.82014388489208
CAIMANS;AMC;259 ;18000 ;18000 ;18000 ;69.4980694980695;69.4980694980695;69.4980694980695
CAMEROUN;AFC;475400 ;9400000 ;11213000 ;10450000 ;19.772822885990745;23.5864535128313;21.981489272191837
CANADA;AMN;9976000 ;25500000 ;26104000 ;25610000 ;2.5561347233360063;2.6166800320769847;2.5671611868484363
CAP-VERT;AFO;4030 ;320000 ;352000 ;335000 ;79.40446650124069;87.34491315136476;83.12655086848635
CENTRAFRIQUE;AFC;622900 ;2550000 ;2794000 ;2740000 ;4.093755016856639;4.48547118317547;4.3987799004655646
CHILI;AMS;756900 ;12100000 ;12760000 ;12270000 ;15.986259743691372;16.85823754789272;16.21086008719778
CHINE;ASM;9597000 ;1060000000 ;1083000000 ;1070000000 ;110.45118266124831;112.84776492653954;111.49317495050536
CHYPRE;ASO;9250 ;660000 ;686000 ;680000 ;71.35135135135135;74.16216216216216;73.51351351351352
COLOMBIE;AMS;1139000 ;28300000 ;30007000 ;29190000 ;24.846356453028974;26.34503950834065;25.62774363476734
COMORES;AFS;2170 ;440000 ;442000 ;480000 ;202.76497695852535;203.68663594470047;221.19815668202764
CONGO;AFC;342000 ;1750000 ;2100000 ;1790000 ;5.116959064327485;6.140350877192983;5.233918128654971
COOK;OCE;240 ;21000 ;19000 ;21000 ;87.5;79.16666666666667;87.5
COREE DU NORD;ASM;120500 ;20000000 ;21877000 ;20800000 ;165.97510373443984;181.551867219917;172.61410788381744
COREE DU SUD;ASM;98500 ;41000000 ;42593000 ;41470000 ;416.24365482233503;432.4162436548223;421.01522842639594
COSTA RICA;AMC;51100 ;2500000 ;2670000 ;2550000 ;48.923679060665364;52.25048923679061;49.90215264187867
COTE D'IVOIRE;AFO;322500 ;9800000 ;11587000 ;10100000 ;30.387596899224807;35.928682170542636;31.31782945736434
CUBA;AMC;110900 ;9950000 ;10394000 ;10150000 ;89.72046889089269;93.72407574391343;91.5238954012624
DANEMARK;EUO;43070 ;5120000 ;5133000 ;5120000 ;118.8762479684235;119.17808219178082;118.8762479684235
DJIBOUTI;AFC;23000 ;360000 ;390000 ;460000 ;15.652173913043478;16.956521739130434;20.0
DOMINICAINE;AMC;48700 ;6300000 ;6859000 ;6300000 ;129.36344969199178;140.8418891170431;129.36344969199178
DOMINIQUE;AMC;751 ;88000 ;81000 ;90000 ;117.17709720372837;107.85619174434088;119.84021304926765
EGYPTE;AFN;1001000 ;46700000 ;51447000 ;49610000 ;46.65334665334665;51.395604395604394;49.56043956043956
EMIRATS ARABES UNIS;ASO;77800 ;1350000 ;1500000 ;1350000 ;17.35218508997429;19.28020565552699;17.35218508997429
EQUATEUR;AMS;283600 ;9800000 ;10154000 ;9350000 ;34.55571227080395;35.80394922425952;32.96897038081806
ESPAGNE;EUO;504800 ;38800000 ;38997000 ;38800000 ;76.8621236133122;77.25237717908082;76.8621236133122
ETATS-UNIS;AMN;9363000 ;239300000 ;245871000 ;239000000 ;25.558047634305243;26.25985261134252;25.52600662180925
ETHIOPIE;AFC;1222000 ;35400000 ;46144000 ;44225000 ;28.968903436988544;37.761047463175125;36.190671031096564
FALKLAND;AMS;16840 ;2000 ;2100 ;2100 ;0.1187648456057007;0.12470308788598575;0.12470308788598575
FEROE;EUO;1400 ;42000 ;47000 ;42000 ;30.0;33.57142857142857;30.0
FIDJI;OCE;18270 ;690000 ;732000 ;700000 ;37.76683087027914;40.06568144499179;38.31417624521073
